Temperature,Rainfall,Soil_pH,Crop_Type,Yield
25,285,6.9,Maize,3.5
31,183,5.8,Maize,3.73
32,121,6.2,Maize,4.49
22,70,6.3,Maize,5.21
31,284,6.0,Maize,4.84
24,265,6.4,Maize,4.58
34,146,7.1,Maize,5.29
27,113,5.7,Maize,4.8
20,110,7.2,Maize,5.57
23,225,5.6,Maize,5.18
27,181,6.8,Maize,4.53
23,246,6.1,Maize,3.86
30,102,6.3,Maize,3.59
22,65,6.8,Maize,4.25
22,265,5.9,Maize,3.68
26,59,5.7,Maize,5.76
33,150,6.5,Maize,3.71
26,186,7.3,Maize,4.25
27,75,6.7,Maize,5.89
34,96,6.0,Maize,4.83
21,163,6.5,Maize,4.85
33,255,5.6,Maize,3.85
22,126,5.6,Maize,5.71
33,250,6.4,Maize,5.73
34,86,6.6,Maize,5.13
29,290,6.6,Maize,5.09
30,73,6.9,Maize,5.12
28,252,7.0,Maize,4.39
21,144,7.3,Maize,3.53
23,147,5.6,Maize,5.47
22,60,6.2,Maize,5.85
26,248,7.0,Maize,5.43
26,65,7.0,Maize,3.88
26,226,5.5,Maize,5.27
22,147,7.0,Maize,4.67
27,111,7.2,Maize,4.88
20,299,6.4,Maize,5.36
33,262,6.4,Maize,4.08
28,237,5.9,Maize,3.62
22,249,5.8,Maize,4.49
26,71,6.7,Tomato,2.36
19,97,6.0,Tomato,5.39
25,194,6.0,Tomato,2.32
22,116,6.5,Tomato,3.29
33,125,6.2,Tomato,4.51
20,262,6.5,Tomato,4.63
31,206,6.5,Tomato,3.27
32,124,7.7,Tomato,5.21
26,134,6.9,Tomato,2.13
18,158,5.8,Tomato,3.03
22,94,6.1,Tomato,2.26
21,69,5.9,Tomato,5.29
25,277,5.6,Tomato,4.59
21,84,6.0,Tomato,5.44
21,74,7.2,Tomato,4.28
33,183,6.9,Tomato,3.99
18,92,7.8,Tomato,4.03
32,195,6.8,Tomato,4.61
32,195,6.1,Tomato,2.23
24,88,6.9,Tomato,2.74
27,98,6.1,Tomato,4.82
24,50,7.0,Tomato,3.84
27,162,6.1,Tomato,2.23
29,118,7.3,Tomato,5.18
32,174,5.5,Tomato,2.82
32,104,7.7,Tomato,5.33
31,193,7.6,Tomato,4.25
28,263,6.6,Tomato,4.12
23,200,7.6,Tomato,5.22
26,109,7.7,Tomato,2.61
25,175,5.8,Tomato,3.77
29,162,7.7,Tomato,4.89
29,204,5.9,Tomato,3.16
27,77,7.4,Tomato,3.21
32,274,6.8,Tomato,5.08
18,200,7.6,Tomato,3.61
30,89,7.3,Tomato,3.0
31,248,6.9,Tomato,2.05
20,172,6.5,Tomato,4.83
23,187,7.6,Tomato,4.02
24,122,5.1,Beans,1.54
18,184,5.8,Beans,2.94
27,75,6.6,Beans,2.14
22,149,6.7,Beans,2.94
20,181,6.2,Beans,3.38
26,58,6.5,Beans,3.25
26,152,5.9,Beans,2.4
29,66,5.3,Beans,2.9
18,77,6.4,Beans,2.0
29,190,5.7,Beans,3.49
25,163,6.0,Beans,1.54
24,162,6.1,Beans,3.65
22,186,5.2,Beans,1.61
24,161,5.1,Beans,3.53
18,197,5.8,Beans,1.7
26,70,5.6,Beans,3.66
25,180,6.0,Beans,3.76
27,173,6.7,Beans,1.85
24,97,5.5,Beans,1.78
23,178,5.7,Beans,1.52
27,117,6.7,Beans,2.54
29,108,5.6,Beans,3.73
18,136,5.3,Beans,3.05
28,180,6.3,Beans,1.86
18,135,5.4,Beans,2.8
29,139,5.6,Beans,2.48
23,187,5.7,Beans,1.5
21,82,6.7,Beans,1.75
28,162,6.5,Beans,2.52
24,176,6.9,Beans,2.26
23,145,6.3,Beans,2.36
29,49,5.1,Beans,2.62
19,120,6.1,Beans,2.53
20,118,7.0,Beans,2.87
28,86,5.9,Beans,3.72
22,197,6.2,Beans,3.79
25,143,6.7,Beans,3.23
19,111,6.7,Beans,2.89
26,91,6.0,Beans,2.19
21,136,6.3,Beans,3.8
29,300,5.8,Rice,3.74
26,296,5.4,Rice,3.1
37,376,5.6,Rice,5.62
31,329,5.8,Rice,6.36
31,297,5.7,Rice,6.32
31,379,6.0,Rice,4.6
22,236,6.2,Rice,3.16
33,253,6.1,Rice,4.2
37,257,5.6,Rice,5.88
21,232,5.2,Rice,3.27
24,176,5.1,Rice,4.61
22,244,6.1,Rice,4.38
21,289,5.7,Rice,4.67
24,323,6.2,Rice,4.41
27,396,5.1,Rice,5.71
24,283,5.9,Rice,3.04
32,323,5.0,Rice,6.33
27,370,6.4,Rice,3.51
21,151,5.3,Rice,5.18
26,362,6.3,Rice,5.61
37,264,5.6,Rice,3.87
23,181,5.2,Rice,5.84
30,310,5.4,Rice,5.87
34,222,6.5,Rice,3.93
20,374,6.2,Rice,3.43
34,185,5.8,Rice,6.29
20,399,6.1,Rice,6.12
30,207,5.8,Rice,4.14
26,343,5.8,Rice,3.93
33,277,5.7,Rice,4.17
22,389,5.3,Rice,5.87
28,312,5.2,Rice,6.32
34,233,6.4,Rice,5.96
34,328,5.1,Rice,3.8
20,368,6.3,Rice,3.36
21,269,5.3,Rice,5.46
21,245,5.9,Rice,4.22
30,189,6.0,Rice,4.74
24,216,5.9,Rice,6.49
23,356,6.5,Rice,6.16
15,145,6.0,Wheat,2.73
26,76,6.7,Wheat,3.44
22,62,6.3,Wheat,4.93
29,44,7.2,Wheat,4.08
19,42,6.7,Wheat,2.53
17,131,6.7,Wheat,4.33
24,129,6.7,Wheat,2.84
24,137,7.1,Wheat,3.3
27,70,6.3,Wheat,3.35
15,120,7.1,Wheat,3.66
15,87,6.5,Wheat,3.76
15,72,6.5,Wheat,3.49
24,68,7.4,Wheat,3.63
28,107,7.0,Wheat,4.38
22,128,6.2,Wheat,4.52
15,66,6.5,Wheat,3.91
16,62,6.7,Wheat,4.53
17,80,6.6,Wheat,4.51
20,31,6.4,Wheat,2.53
17,79,6.4,Wheat,4.04
28,51,6.8,Wheat,3.45
24,34,7.3,Wheat,3.62
18,89,7.1,Wheat,3.05
16,114,6.4,Wheat,3.73
24,113,6.3,Wheat,4.8
23,85,7.0,Wheat,2.92
26,38,6.9,Wheat,4.14
24,112,6.1,Wheat,3.68
29,51,6.9,Wheat,2.75
28,48,6.1,Wheat,3.44
19,63,6.6,Wheat,4.84
28,70,6.7,Wheat,3.32
17,116,6.1,Wheat,3.62
15,117,7.3,Wheat,4.53
25,69,6.5,Wheat,4.82
26,104,6.5,Wheat,2.69
26,96,6.5,Wheat,4.48
18,61,6.7,Wheat,2.71
28,89,6.1,Wheat,4.73
21,34,6.7,Wheat,3.94
